Date,Matchup,Score,Spread Result,Minutes,Prop Line,PTS,REBS,ASSISTS,3s Scored,STEALS,BLOCKS,FGM-FGA (%),FTM-FTA (%),3PM-3PA (%)
11/12,@GSW,L 120-117,GSW -2.5,24.0,7.5,O 12,8.0,2.0,0.0,0.0,1.0,4-6 (67%),4-7 (57%),0-0 (0%)
11/3,ORL,W 108-85,DAL -7.0,20.0,8.5,O 11,11.0,1.0,0.0,0.0,0.0,5-7 (71%),1-3 (33%),0-0 (0%)
10/31,HOU,L 108-102,HOU +6.5,15.0,8.5,U 6,3.0,2.0,0.0,0.0,1.0,2-4 (50%),2-2 (100%),0-0 (0%)
10/29,@MIN,W 120-114,DAL +4.0,27.0,7.5,U 5,9.0,1.0,0.0,3.0,1.0,2-3 (67%),1-2 (50%),0-0 (0%)
10/28,UTH,W 110-102,UTH +11.5,26.0,8.5,O 14,4.0,2.0,0.0,1.0,3.0,7-10 (70%),0-0 (0%),0-0 (0%)
10/26,@PHO,L 114-102,PHO +4.0,21.0,8.5,U 5,11.0,3.0,0.0,0.0,0.0,2-2 (100%),1-2 (50%),0-0 (0%)
10/24,SAS,W 120-109,DAL -8.5,28.0,7.5,O 15,11.0,6.0,0.0,1.0,0.0,6-8 (75%),3-5 (60%),0-0 (0%)
Averages,,,,23.0,8.1,9.7,8.1,2.4,0.0,0.7,0.9,71%,58%,NaN%
