Date,Matchup,Score,Spread Result,Minutes,Prop Line,PTS,REBS,ASSISTS,3s Scored,STEALS,BLOCKS,FGM-FGA (%),FTM-FTA (%),3PM-3PA (%)
11/26,Atlanta Logo ATL,W 113-103,BOS -7.5,32,9.5,U 6,15,3,0,1,2,3-8 (38%),0-0 (0%),0-5 (0%)
11/24,Orlando Logo @ORL,L 113-96,ORL +5.5,33,7.5,U 3,5,3,1,0,0,1-5 (20%),0-0 (0%),1-5 (20%)
11/22,Milwaukee Logo MIL,W 119-116,MIL +6.0,31,6.5,O 11,8,6,2,0,1,4-7 (57%),1-1 (100%),2-3 (67%)
11/19,Memphis Logo @MEM,W 102-100,MEM +12.5,22,NL,5,3,2,1,0,0,2-5 (40%),0-0 (0%),1-3 (33%)
11/17,Toronto Logo @TOR,W 108-105,TOR +9.0,23,5.5,O 11,4,2,3,0,0,4-5 (80%),0-0 (0%),3-4 (75%)
11/15,Philadelphia Logo @PHI,W 117-107,BOS -1.0,29,NL,14,8,3,4,0,5,5-9 (56%),0-0 (0%),4-8 (50%)
11/13,New York Logo NYK,W 114-98,BOS -9.5,22,6.5,U 2,4,0,0,0,0,1-2 (50%),0-0 (0%),0-1 (0%)
11/11,Toronto Logo TOR,W 117-94,BOS -9.0,24,5.5,O 7,7,4,1,0,0,3-5 (60%),0-0 (0%),1-3 (33%)
11/8,Philadelphia Logo @PHI,L 106-103,PHI +2.5,26,5.5,U 3,5,3,1,0,2,1-6 (17%),0-0 (0%),1-6 (17%)
11/6,Minnesota Logo @MIN,L 114-109,MIN +3.5,36,NL,3,5,4,1,1,0,1-5 (20%),0-0 (0%),1-4 (25%)
11/4,Brooklyn Logo @BKN,W 124-114,PUSH -10.0,30,7.5,O 8,7,3,0,1,1,4-7 (57%),0-0 (0%),0-3 (0%)
11/1,Indiana Logo IND,W 155-104,BOS -13.5,11,6.5,U 5,4,0,1,1,1,1-3 (33%),2-2 (100%),1-1 (100%)
10/30,Washington Logo @WAS,W 126-107,BOS -10.5,16,6.5,O 8,5,1,0,2,0,4-9 (44%),0-0 (0%),0-3 (0%)
10/27,Miami Logo MIA,W 119-111,MIA +8.5,25,5.5,U 0,10,2,0,0,1,0-6 (0%),0-0 (0%),0-2 (0%)
10/25,New York Logo @NYK,W 108-104,PUSH -4.0,26,5.5,O 8,7,2,2,0,0,3-4 (75%),0-0 (0%),2-3 (67%)
