Date,Matchup,Score,Spread Result,Minutes,Prop Line,PTS,REBS,ASSISTS,3s Scored,STEALS,BLOCKS,FGM-FGA (%),FTM-FTA (%),3PM-3PA (%)
12/30/2023,New York Logo NYK,W 140-126,IND -4.0,36,25.5,U,22,5,23,2,2,1,8-17 (47%),4-4 (100%)
12/28/2023,Chicago Logo @CHI,W 120-104,IND -1.0,37,25.5,U,21,3,20,6,2,1,7-17 (41%),1-2 (50%)
12/26/2023,Houston Logo @HOU,W 123-117,IND +3.0,38,24.5,O,33,6,10,7,1,0,13-21 (62%),0-1 (0%)
12/23/2023,Orlando Logo ORL,L 117-110,ORL +2.5,40,23.5,O,29,2,15,3,3,0,12-22 (55%),2-3 (67%)
12/21/2023,Memphis Logo @MEM,L 116-103,MEM -2.0,38,24.5,U,17,4,14,2,0,0,7-19 (37%),1-2 (50%)
12/20/2023,Charlotte Logo CHA,W 144-113,IND -10.5,28,24.5,U,19,3,13,3,1,1,6-14 (43%),4-4 (100%)
12/18/2023,Los Angeles Logo LAC,L 151-127,LAC -4.0,31,26.5,U,8,2,11,1,0,0,3-12 (25%),1-2 (50%)
12/15/2023,Washington Logo @WAS,L 137-123,WAS +8.5,28,27.5,U,19,2,11,2,0,0,7-17 (41%),3-3 (100%)
12/13/2023,Milwaukee Logo @MIL,L 140-126,MIL -6.5,31,27.5,U,22,5,7,1,0,0,8-16 (50%),5-7 (71%)
12/11/2023,Detroit Logo @DET,W 131-123,IND -7.0,33,27.5,U,14,5,16,3,1,2,5-12 (42%),1-1 (100%)
12/7/2023,Milwaukee Logo @MIL,W 128-119,IND +5.0,37,28.5,U,27,7,15,3,0,1,11-19 (58%),2-2 (100%)
12/4/2023,Boston Logo BOS,W 122-112,IND +4.5,40,26.5,U,26,10,13,5,1,0,10-18 (56%),1-1 (100%)
11/30/2023,Miami Logo @MIA,L 142-132,MIA -3.5,40,24.5,O,44,2,10,6,3,1,15-28 (54%),8-12 (67%)
11/27/2023,Portland Logo POR,L 114-110,POR +12.0,36,24.5,O,33,2,9,3,0,0,11-17 (65%),8-9 (89%)
11/24/2023,Detroit Logo DET,W 136-113,IND -9.5,32,25.5,O,26,2,10,5,0,0,9-23 (39%),3-3 (100%)
11/22/2023,Toronto Logo TOR,L 132-131,TOR +2.5,34,24.5,O,33,3,16,5,0,1,12-22 (55%),4-5 (80%)
11/21/2023,Atlanta Logo @ATL,W 157-152,IND +3.5,39,22.5,O,37,5,16,9,3,1,11-18 (61%),6-7 (86%)
11/19/2023,Orlando Logo ORL,L 128-116,ORL +4.5,25,22.5,U,12,2,3,1,0,1,4-14 (29%),3-3 (100%)
